encoding qubits,eigenvalue,time
2,-1.0,1.1173250675201416

2,2.0,1.4327917098999023
3,-7.0,0.9792158603668213
4,5.0,1.5807390213012695
5,12.0,2.9592208862304688
6,2.0,2.7475640773773193
7,-7.0,2.6457841396331787
8,-7.0,1.828672170639038
9,-7.0,2.5037848949432373

2,-1.0,1.7791082859039307
3,-1.0,1.6657860279083252
4,12.0,2.6699111461639404
5,-7.0,4.874442100524902
6,-7.0,7.7940449714660645
7,-7.0,1.7200982570648193
8,-7.0,1.4391582012176514
9,-7.0,4.591935873031616

2,5.0,1.2246780395507812
3,2.0,2.500229835510254
4,-7.0,2.593670129776001
5,-1.0,4.514597177505493
6,-7.0,7.764147996902466
7,-7.0,1.303511142730713
8,-7.0,2.491395950317383
9,-7.0,3.278402805328369

2,5.0,1.8937208652496338
3,-7.0,2.7231249809265137
4,12.0,4.4080188274383545
5,-1.0,6.345850706100464
6,-7.0,5.854083061218262
7,-7.0,1.1998231410980225
8,-7.0,2.232785940170288
9,-7.0,2.6957602500915527

2,-2.0,2.011345863342285
3,-1.0,1.0937702655792236
4,-7.0,2.173123836517334
5,-7.0,5.232133150100708
6,-7.0,2.4298267364501953
7,-7.0,1.8351202011108398
8,-7.0,2.230534791946411
9,-7.0,2.5323028564453125

2,-2.0,1.8728971481323242
3,-1.0,2.725872755050659
4,-7.0,1.5026171207427979
5,-7.0,4.011681795120239
6,-1.0,5.8990771770477295
7,-7.0,1.9936058521270752
8,-7.0,3.0001440048217773
9,-7.0,4.254719972610474

2,-2.0,1.424748182296753
3,-2.0,2.9044971466064453
4,-7.0,1.861515998840332
5,12.0,3.2400550842285156
6,-1.0,3.583266019821167
7,-7.0,1.62333083152771
8,-7.0,0.8819682598114014
9,-7.0,3.465009927749634

2,-7.0,1.2932658195495605
3,2.0,2.712193012237549
4,-2.0,3.5024771690368652
5,-2.0,1.980226755142212
6,-7.0,5.215383052825928
7,-7.0,1.5521769523620605
8,-7.0,2.6347830295562744
9,-7.0,6.1327338218688965

2,2.0,1.419809103012085
3,-1.0,2.339876174926758
4,12.0,2.727571964263916
5,0.0,3.2714600563049316
6,-7.0,5.765067100524902
7,-7.0,1.6637020111083984
8,-7.0,3.2503018379211426
9,-7.0,4.398258209228516

2,4.0,1.1889042854309082
3,12.0,1.872032880783081
4,-1.0,2.9737370014190674
5,-1.0,3.1346161365509033
6,-2.0,4.458651781082153
7,-7.0,1.354356050491333
8,-7.0,4.278598070144653
9,-7.0,4.707871913909912

2,-1.0,1.4005751609802246
3,2.0,2.809480905532837
4,4.0,3.5059330463409424
5,-2.0,2.520275831222534
6,-1.0,6.639502048492432
7,-1.0,1.3046128749847412
8,-7.0,2.1363539695739746
9,-7.0,3.1112308502197266

2,-1.0,0.23110723495483398
3,-1.0,2.5258302688598633
4,-1.0,1.6330959796905518
5,-2.0,4.141902923583984
6,-7.0,7.683380842208862
7,-7.0,3.1262409687042236
8,-7.0,2.8831310272216797
9,-7.0,4.474678993225098

2,-2.0,1.5744359493255615
3,0.0,2.2803561687469482
4,5.0,3.039531946182251
5,-2.0,4.855761766433716
6,-7.0,3.7215020656585693
7,-7.0,2.023836135864258
8,-7.0,2.2423229217529297
9,-7.0,5.499148607254028

2,4.0,1.4742450714111328
3,2.0,2.0006608963012695
4,12.0,3.12719988822937
5,-1.0,3.729656934738159
6,-7.0,4.966336965560913
7,-7.0,1.9218571186065674
8,-7.0,3.8443169593811035
9,-7.0,3.843751907348633

2,2.0,1.26472806930542
3,5.0,3.1474549770355225
4,4.0,3.5623390674591064
5,-7.0,3.166882038116455
6,-7.0,4.53496789932251
7,-7.0,1.2179851531982422
8,-7.0,3.6735520362854004
9,-7.0,4.7183637619018555

2,-1.0,1.4500622749328613
3,-1.0,2.6932528018951416
4,5.0,1.4957067966461182
5,-7.0,5.29599928855896
6,-1.0,7.707094192504883
7,-7.0,1.5306379795074463
8,-7.0,2.817690134048462
9,-7.0,7.248615026473999

2,-7.0,1.627504825592041
3,2.0,2.104248285293579
4,-7.0,5.8968586921691895
5,-1.0,3.7707080841064453
6,-7.0,3.6300759315490723
7,-7.0,2.142076015472412
8,-7.0,1.9889612197875977
9,-7.0,3.5129921436309814

2,0.0,1.6302132606506348
3,26.0,1.4752211570739746
4,-2.0,2.195981025695801
5,26.0,3.208028793334961
6,-1.0,5.911924123764038
7,-7.0,1.6604549884796143
8,-7.0,2.3385438919067383
9,-7.0,3.653801918029785

2,5.0,1.2273941040039062
3,-1.0,1.739285945892334
4,-2.0,3.188258171081543
5,-2.0,2.6551082134246826
6,-7.0,4.148425817489624
7,-7.0,1.5517730712890625
8,-7.0,3.6863598823547363
9,-7.0,6.551034927368164

2,-1.0,1.2899339199066162
3,-2.0,2.3880550861358643
4,-1.0,2.7223851680755615
5,-7.0,2.3259363174438477
6,-1.0,4.674776792526245
7,-7.0,1.8114440441131592
8,-7.0,3.690520763397217
9,-7.0,5.559341907501221

2,-7.0,2.030093193054199
3,-7.0,0.5780410766601562
4,-7.0,5.142470836639404
5,-7.0,4.106757879257202
6,-7.0,2.6653239727020264
7,-7.0,1.2715280055999756
8,-7.0,3.3952829837799072
9,-7.0,4.313847064971924

2,-7.0,3.002405881881714
3,12.0,3.56485915184021
4,-2.0,1.7554187774658203
5,26.0,3.7782161235809326
6,-7.0,3.8430588245391846
7,-7.0,2.096808910369873
8,-7.0,2.860380172729492
9,-7.0,3.731501817703247

2,12.0,1.1147027015686035
3,-2.0,1.4211242198944092
4,2.0,3.6349802017211914
5,-1.0,1.9236400127410889
6,2.0,9.092936754226685
7,-7.0,1.4076988697052002
8,-7.0,2.8913347721099854
9,-7.0,3.742111921310425

2,-1.0,1.3760268688201904
3,-1.0,2.695997953414917
4,5.0,1.774503231048584
5,-2.0,3.112614870071411
6,-2.0,4.929894924163818
7,-7.0,2.842561960220337
8,-7.0,2.781243085861206
9,-7.0,3.0161490440368652

2,5.0,1.1785390377044678
3,12.0,2.4633290767669678
4,4.0,5.402109146118164
5,-7.0,4.356444835662842
6,-1.0,5.206178903579712
7,-7.0,1.707273006439209
8,-7.0,5.20543098449707
9,-7.0,5.136224031448364

2,5.0,1.2496869564056396
3,12.0,3.4789581298828125
4,-1.0,1.2549729347229004
5,-2.0,4.232170104980469
6,-2.0,5.035451173782349
7,-7.0,1.5399587154388428
8,-7.0,3.078979015350342
9,-7.0,2.618144989013672

2,12.0,2.5188539028167725
3,-1.0,1.3031609058380127
4,-1.0,3.517380952835083
5,-7.0,3.6803572177886963
6,26.0,6.138520002365112
7,-7.0,1.4337129592895508
8,-7.0,2.2082250118255615
9,-7.0,4.106445789337158

2,-1.0,1.5478899478912354
3,-2.0,2.154046058654785
4,-1.0,1.2998700141906738
5,12.0,2.1073009967803955
6,-7.0,7.821242094039917
7,-7.0,2.2327301502227783
8,-7.0,2.8939828872680664
9,-7.0,2.5181140899658203

2,0.0,1.2826869487762451
3,0.0,1.2731268405914307
4,-1.0,4.341170310974121
5,-1.0,5.606856822967529
6,-7.0,5.04973292350769
7,-7.0,1.105139970779419
8,-7.0,3.3738691806793213
9,-7.0,6.098986864089966

2,-7.0,1.9226460456848145
3,26.0,2.269318103790283
4,26.0,4.190051794052124
5,-2.0,3.2918777465820312
6,-7.0,8.782820224761963
7,-7.0,1.4298999309539795
8,-7.0,3.377784013748169
9,-7.0,5.310405969619751

2,0.0,1.5908679962158203
3,-1.0,3.8999459743499756
4,5.0,3.753784656524658
5,-7.0,4.068435192108154
6,-7.0,5.513192176818848
7,-7.0,2.480902910232544
8,-7.0,4.112799882888794
9,-7.0,4.213289976119995

2,-1.0,1.5490670204162598
3,12.0,4.20166015625
4,-7.0,2.372779130935669
5,12.0,4.238988876342773
6,-1.0,6.166173934936523
7,-7.0,2.0562119483947754
8,-7.0,1.7996299266815186
9,-7.0,4.4761128425598145

2,-2.0,1.823216199874878
3,-1.0,1.3332109451293945
4,-2.0,4.518600940704346
5,-2.0,0.5829458236694336
6,-1.0,8.542707204818726
7,-7.0,2.8429667949676514
8,-7.0,2.261348009109497
9,-7.0,4.980640172958374

2,-1.0,1.3885257244110107
3,5.0,1.6909081935882568
4,4.0,0.5230436325073242
5,-7.0,6.540646076202393
6,-2.0,8.378788948059082
7,-7.0,2.2144923210144043
8,-7.0,2.61529803276062
9,-7.0,2.727558135986328

2,-1.0,2.255300998687744
3,5.0,1.8993110656738281
4,-7.0,5.955872058868408
5,12.0,3.8019652366638184
6,-7.0,6.0050249099731445
7,-7.0,1.5111422538757324
8,-7.0,3.606109857559204
9,-7.0,2.4994449615478516

2,5.0,1.7542529106140137
3,-7.0,1.8947980403900146
4,12.0,2.9976539611816406
5,-1.0,6.862034797668457
6,-7.0,6.067195892333984
7,-7.0,2.2861599922180176
8,-7.0,3.2540149688720703
9,-7.0,5.22786808013916

2,0.0,0.9839479923248291
3,12.0,1.412848949432373
4,4.0,2.847407817840576
5,0.0,3.3069419860839844
6,-7.0,7.684448003768921
7,-7.0,1.4901649951934814
8,-7.0,1.8740260601043701
9,-7.0,4.36251425743103

2,5.0,1.4009149074554443
3,-7.0,1.366286039352417
4,5.0,3.1291298866271973
5,-7.0,6.146050691604614
6,-7.0,3.0271990299224854
7,-7.0,1.6249032020568848
8,-7.0,3.977958917617798
9,-7.0,3.8357200622558594

2,12.0,1.674259901046753
3,5.0,2.278446912765503
4,-7.0,4.2770843505859375
5,-2.0,5.340667963027954
6,-2.0,5.331027984619141
7,-7.0,2.329285144805908
8,-7.0,3.0990569591522217
9,-7.0,3.757652997970581

2,-7.0,1.2039978504180908
3,4.0,2.8004050254821777
4,5.0,2.8110268115997314
5,12.0,4.563199996948242
6,-2.0,5.239552021026611
7,-7.0,1.2428181171417236
8,-7.0,2.236319065093994
9,-7.0,5.332753896713257

2,12.0,2.8462181091308594
3,-1.0,3.006913185119629
4,-7.0,4.928509950637817
5,-7.0,4.0100390911102295
6,-1.0,6.676175832748413
7,-7.0,3.03462815284729
8,-7.0,2.8074140548706055
9,-7.0,4.266203880310059

2,5.0,1.8121070861816406
3,-1.0,2.5490827560424805
4,12.0,1.5350370407104492
5,-7.0,3.334775924682617
6,4.0,9.936643123626709
7,-7.0,2.113237142562866
8,-1.0,3.059983730316162
9,-7.0,3.8799259662628174

2,0.0,2.006998062133789
3,4.0,2.8025858402252197
4,2.0,2.9189703464508057
5,12.0,2.8266761302948
6,-7.0,6.156136989593506
7,-7.0,1.6696739196777344
8,-7.0,2.6196300983428955
9,-7.0,4.47301983833313

2,4.0,1.7441048622131348
3,-1.0,1.2828011512756348
4,-7.0,5.115652799606323
5,-7.0,3.188223123550415
6,26.0,4.447937965393066
7,-7.0,1.843721866607666
8,-7.0,3.582413911819458
9,-7.0,5.506418943405151

2,26.0,1.6618173122406006
3,12.0,1.221566915512085
4,12.0,4.192050933837891
5,12.0,4.0767621994018555
6,-7.0,6.838797092437744
7,-7.0,0.9525949954986572
8,-7.0,4.169382095336914
9,-7.0,3.624737024307251

2,5.0,1.1818387508392334
3,-7.0,1.2375988960266113
4,-1.0,2.058861255645752
5,0.0,2.7784178256988525
6,-7.0,3.393608331680298
7,-7.0,1.6570649147033691
8,-7.0,2.400115966796875
9,-7.0,4.583569765090942

2,12.0,2.2213869094848633
3,2.0,1.4873130321502686
4,26.0,3.1299800872802734
5,12.0,5.116437911987305
6,-1.0,3.9989800453186035
7,-7.0,1.3063218593597412
8,-7.0,3.332336187362671
9,-7.0,7.8810529708862305

2,2.0,2.3158562183380127
3,-1.0,4.016394853591919
4,26.0,2.432008981704712
5,12.0,5.253735303878784
6,-7.0,2.531242847442627
7,-7.0,1.9576761722564697
8,-7.0,2.7935328483581543
9,-7.0,5.575224161148071

2,-1.0,1.1780059337615967
3,-7.0,2.85273814201355
4,-7.0,3.4401657581329346
5,-7.0,2.393156051635742
6,-7.0,3.658845901489258
7,-7.0,1.2832670211791992
8,-7.0,1.8924999237060547
9,-7.0,4.859599828720093

2,2.0,2.2352499961853027
3,-7.0,1.7283940315246582
4,-2.0,2.4481492042541504
5,-7.0,2.5038650035858154
6,-7.0,9.582184076309204
7,-7.0,1.6817121505737305
8,-7.0,2.2461421489715576
9,-7.0,6.753637790679932

2,0.0,1.0728552341461182
3,12.0,1.2633399963378906
4,0.0,3.7436399459838867
5,-7.0,7.189219951629639
6,-1.0,8.743129253387451
7,-7.0,2.54658579826355
8,-7.0,3.0747482776641846
9,-7.0,5.190370798110962

2,26.0,1.5460429191589355
3,-7.0,3.4312570095062256
4,4.0,1.7851409912109375
